room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,propietario
90387,490050,Private room,Santo António,204,5.0,2,1.0,46.0,Roberto
97503,515924,Private room,Santo António,39,4.0,2,1.0,26.0,Carlos
